"","ApplicationDate","ApplicationNo","LoanType","Amount","Tenor","CustomerNo","CustomerName","ApplicationStatus","BranchCode","CustomerType","Salary","NetAssets","Occupation"
"17",2024-01-04,"113142","PersonalLoan","40,000","36","486758","Sierra, Suchomel","Drawdown","7627","General Banking",15600,62405.9235685251,"Supervisor"
"18",2024-01-04,"113381","PersonalLoan","40,000","36","359371","Kira, Choat","Drawdown","7631","Premier Banking",16200,64798.3160964045,"Supervisor"
"19",2024-01-04,"113640","CarLoan","40,000","36","413835","Kari, Campilan","Drawdown","7627","General Banking",16600,66402.8721012096,"Officer"
"20",2024-01-04,"113740","PersonalLoan","40,000","36","362079","Heejae, Lee","Drawdown","7627","General Banking",7800,31204.3352577756,"Supervisor"
"21",2024-01-04,"114058","PersonalLoan","40,000","36","342577","Angelic, Eckley","Drawdown","7627","General Banking",12600,50401.0183408184,"Manager"
"22",2024-01-04,"114068","HomeLoan","300,000","240","348232","Eleanor, Saraogi","Drawdown","7627","General Banking",14100,56402.6428564894,"Officer"
"23",2024-01-04,"114163","CarLoan","80,000","36","357957","Kaylene, Yong","NoResponse","7628","Premier Banking",20000,80002.7106122728,"Supervisor"
"24",2024-01-05,"114213","CarLoan","50,000","60","437440","Paulina, Ilgenfritz","Drawdown","7631","Premier Banking",15700,62802.2497840304,"Supervisor"
"25",2024-01-05,"114532","CarLoan","70,000","48","514472","Asianae, Feiner-Jackson","Drawdown","7631","Premier Banking",8700,34801.0771289127,"Manager"
"26",2024-01-05,"115304","CarLoan","60,000","60","377109","Luwai, el-Noorani","NoResponse","7627","General Banking",12000,48000.7576850763,"Director"
"27",2024-01-05,"115323","CarLoan","70,000","48","545432","Zachary, Suriwong","Drawdown","7628","Premier Banking",12800,51201.7317390233,"Manager"
"28",2024-01-05,"115771","PersonalLoan","40,000","36","474076","Javonte, Keys","Drawdown","7631","Premier Banking",12000,48001.2550503313,"Manager"
"29",2024-01-08,"116019","CarLoan","70,000","36","376433","Duane, Freel","NoResponse","7627","General Banking",21200,84798.0167751402,"Manager"
"30",2024-01-08,"116054","CarLoan","70,000","48","397888","William, Hoskins","NoResponse","7627","General Banking",19000,76008.2386995049,"Manager"
"31",2024-01-08,"117339","CarLoan","80,000","60","475515","Khaleela, el-Malak","Drawdown","7629","General Banking",11800,47205.3030652982,"Manager"
"32",2024-01-08,"117786","PersonalLoan","40,000","36","346079","Naasiruddeen, el-Jamail","Drawdown","7627","General Banking",8000,32002.8311481598,"Worker"
"33",2024-01-09,"117801","HomeLoan","400,000","120","396690","Baylee, Hammond","Cancel","7627","General Banking",21600,86397.6427595209,"Manager"
"34",2024-01-09,"117846","CarLoan","60,000","60","361648","Munguntsetseg, Fei","Processing","7630","Premier Banking",18800,75195.7661994453,"Officer"
"35",2024-01-09,"117962","HomeLoan","600,000","360","481250","Toshia, Pernell","Drawdown","7628","Premier Banking",9900,39598.9232438175,"Manager"
"36",2024-01-10,"118242","HomeLoan","500,000","360","451816","Tylar, Romme","Drawdown","7628","Premier Banking",12900,51601.4877378715,"Manager"
"37",2024-01-10,"118495","HomeLoan","500,000","120","389580","Tyler, Rossman","Processing","7627","General Banking",19100,76397.423859509,"Worker"
"38",2024-01-10,"119280","PersonalLoan","40,000","36","463660","Neha, Khliu","Drawdown","7630","Premier Banking",13100,52401.5373474822,"Officer"
"39",2024-01-11,"119330","HomeLoan","500,000","360","538618","Andrew, Kaszubowski","Cancel","7627","General Banking",20700,82794.7507312299,"Officer"
"40",2024-01-11,"119368","HomeLoan","300,000","240","432927","Judith, Malouff","Drawdown","7628","Premier Banking",14000,55997.781321805,"Manager"
"41",2024-01-12,"119507","CarLoan","60,000","48","364759","Alisha, Jensen","Drawdown","7631","Premier Banking",15800,63205.5079539007,"Manager"
"42",2024-01-12,"119772","HomeLoan","500,000","240","384035","Melinda, Park","Processing","7630","Premier Banking",20200,80801.7908151096,"Manager"
"43",2024-01-12,"120964","HomeLoan","400,000","120","530821","Jabril, Kinlicheene","Processing","7628","Premier Banking",18800,75199.6735353092,"Officer"
"44",2024-01-12,"121009","HomeLoan","500,000","360","513697","Casey, Toney","Drawdown","7629","General Banking",9500,38001.55015703,"Manager"
"45",2024-01-12,"121023","CarLoan","80,000","48","501681","Steven, Dominguez","Processing","7631","Premier Banking",18900,75603.2596824174,"Manager"
"46",2024-01-12,"121498","CarLoan","70,000","36","466843","Kabeera, el-Doud","Drawdown","7629","General Banking",10200,40800.9949464316,"Manager"
"47",2024-01-12,"121783","PersonalLoan","40,000","36","389201","Melinda, Vigil","Processing","7629","General Banking",18100,72405.5588874306,"Supervisor"
"48",2024-01-12,"121888","PersonalLoan","40,000","36","341023","Kulthum, el-Akbari","Processing","7627","General Banking",20300,81196.637538299,"Supervisor"
"49",2024-01-15,"122010","PersonalLoan","40,000","36","347085","Haley, Hughes","Drawdown","7628","Premier Banking",15900,63600.7551798619,"Supervisor"
"50",2024-01-15,"122377","PersonalLoan","40,000","36","399699","Lance, Laping","Drawdown","7628","Premier Banking",9900,39598.0127359322,"Manager"
"51",2024-01-16,"122515","CarLoan","50,000","48","469034","Janet, Okazaki","Drawdown","7627","General Banking",15200,60797.3096976402,"Supervisor"
"52",2024-01-16,"122577","PersonalLoan","40,000","36","331023","John, Young","Drawdown","7628","Premier Banking",14214.0350877193,22403.6355787008,"Officer"
"53",2024-01-16,"122748","PersonalLoan","40,000","36","514303","Joshua, Yang","Processing","7629","General Banking",17200,68800.0588962003,"Director"
"54",2024-01-16,"123004","HomeLoan","600,000","120","526300","Desiree, Harris","Drawdown","7629","General Banking",15900,63606.6915529615,"Worker"
"55",2024-01-16,"124443","CarLoan","70,000","36","527542","Nihal, Knight","Drawdown","7631","Premier Banking",16300,65201.5241264861,"Manager"
"56",2024-01-16,"124624","PersonalLoan","40,000","36","490378","Travis, Edler","Drawdown","7628","Premier Banking",14214.0350877193,22802.1250170726,"Manager"
"57",2024-01-16,"126079","PersonalLoan","40,000","36","374535","Jared, Bancroft","Drawdown","7627","General Banking",9300,37200.2702400977,"Manager"
"58",2024-01-16,"127085","HomeLoan","600,000","120","532662","Veronica, Alferos","Processing","7627","General Banking",20000,80000.4146717988,"Officer"
"59",2024-01-16,"127089","PersonalLoan","40,000","36","434893","Eduardo, White Bear","Cancel","7629","General Banking",21900,87601.3956907297,"Manager"
"60",2024-01-16,"127894","PersonalLoan","40,000","36","352954","Jesse, Roy","Drawdown","7627","General Banking",14900,59599.6780899219,"Manager"
"61",2024-01-17,"128232","HomeLoan","300,000","120","425946","Asher Erwin, Dolkar","Cancel","7627","General Banking",21300,85203.0613615086,"Officer"
"62",2024-01-17,"128299","HomeLoan","600,000","240","395172","Elisa, Olson","Processing","7629","General Banking",19400,77602.7566371546,"Manager"
"63",2024-01-17,"128747","HomeLoan","400,000","120","478161","Ashleigh, Worley","Processing","7629","General Banking",19100,76400.2514429219,"Supervisor"
"64",2024-01-18,"128824","CarLoan","70,000","36","490089","Reginald, Chapman","Drawdown","7628","Premier Banking",8000,31994.5475216414,"Officer"
"65",2024-01-18,"129024","CarLoan","70,000","60","407424","Richard, Smith","Drawdown","7629","General Banking",8700,34800.2255522218,"Supervisor"
"66",2024-01-18,"129156","HomeLoan","500,000","360","489725","Scottie, Andres","Drawdown","7631","Premier Banking",8000,31999.3161722803,"Officer"
"67",2024-01-18,"129361","PersonalLoan","40,000","36","396410","Nashat, el-Moghaddam","Drawdown","7631","Premier Banking",6300,25200.6846110686,"Supervisor"
"68",2024-01-18,"129506","CarLoan","50,000","60","472036","Destinee, Lindsay","Processing","7628","Premier Banking",19900,79597.0671429756,"Manager"
"69",2024-01-18,"129871","HomeLoan","500,000","360","445829","Alexandria, Rodriguez-Sierra","Drawdown","7629","General Banking",11100,44398.708653957,"Manager"
"70",2024-01-19,"130178","PersonalLoan","40,000","36","341009","Dustyn, Barton","Drawdown","7627","General Banking",8500,34002.7196429922,"Manager"
"71",2024-01-19,"130281","HomeLoan","500,000","360","513404","Emmanuel, Nunez","Drawdown","7628","Premier Banking",16700,66800.7121333387,"Supervisor"
"72",2024-01-19,"131028","CarLoan","50,000","60","370761","Cullen, Hemberger","Drawdown","7627","General Banking",7300,29197.9451613523,"Manager"
"73",2024-01-19,"132954","CarLoan","70,000","36","355435","Hannah, Cerna","Drawdown","7628","Premier Banking",8300,33200.0857371044,"Manager"
"74",2024-01-19,"133126","PersonalLoan","40,000","36","376753","Dayton, Long","Drawdown","7629","General Banking",14900,59599.7281946291,"Supervisor"
"75",2024-01-19,"133905","HomeLoan","400,000","360","383366","Jorge, Liebanos-Espinoza","Drawdown","7629","General Banking",16800,67199.7015733604,"Manager"
"76",2024-01-22,"134791","CarLoan","40,000","36","527183","Stephanie, Frias","Drawdown","7628","Premier Banking",15900,63598.2216746084,"Officer"
"77",2024-01-22,"134841","CarLoan","70,000","60","433503","Chelsea, Gresham","Drawdown","7627","General Banking",14214.0350877193,22796.735793676,"Supervisor"
"78",2024-01-22,"135024","PersonalLoan","40,000","36","521912","Amir, Johnson","Drawdown","7627","General Banking",7700,30792.9247692878,"Manager"
"79",2024-01-23,"135106","PersonalLoan","40,000","36","444324","Hunter, Yeatts","Drawdown","7628","Premier Banking",8900,35593.9831433662,"Officer"
"80",2024-01-23,"135435","HomeLoan","300,000","120","460689","Christina, Catlett","Drawdown","7627","General Banking",8000,31999.7153730091,"Supervisor"
"81",2024-01-23,"135686","PersonalLoan","40,000","36","378713","Miguel, Herrington","Cancel","7627","General Banking",21400,85599.7398419444,"Manager"
"82",2024-01-23,"135890","HomeLoan","300,000","240","338242","Nisma, el-Suleiman","Drawdown","7627","General Banking",14000,56002.8792626331,"Worker"
"83",2024-01-23,"135905","HomeLoan","300,000","240","331760","Sophia, Human","Processing","7629","General Banking",17300,69199.1342863015,"Director"
"84",2024-01-23,"136647","CarLoan","80,000","48","400840","Kyle, Smith","Drawdown","7627","General Banking",16500,65999.5097943255,"Manager"
"85",2024-01-23,"136726","PersonalLoan","40,000","36","332855","Evans, Johnson","Drawdown","7628","Premier Banking",12800,51193.7039375281,"Manager"
"86",2024-01-23,"137131","PersonalLoan","40,000","36","492567","Ryan, Wicks","Drawdown","7629","General Banking",15700,62803.3938179887,"Manager"
"87",2024-01-23,"137603","PersonalLoan","40,000","36","331988","Christian, Keeton","Drawdown","7630","Premier Banking",16900,67603.9693345827,"Director"
"88",2024-01-23,"137957","PersonalLoan","40,000","36","468918","Lucas, Montoya","Drawdown","7629","General Banking",8900,35600.4031624817,"Manager"
"89",2024-01-24,"138653","PersonalLoan","40,000","36","332434","Ashlee, Griffin","Processing","7627","General Banking",19600,78401.7444681864,"Supervisor"
"90",2024-01-24,"139017","PersonalLoan","40,000","36","422183","Maajid, el-Mohamed","Drawdown","7631","Premier Banking",14800,59198.4061129237,"Worker"
"91",2024-01-24,"139098","PersonalLoan","40,000","36","536115","Jeremy, Cummings","Drawdown","7628","General Banking",15700,62797.0448269871,"Supervisor"
"92",2024-01-24,"139306","CarLoan","40,000","36","497575","Afeef, al-Kaiser","NoResponse","7630","Premier Banking",7300,29201.8017704523,"Manager"
"93",2024-01-24,"139371","PersonalLoan","40,000","36","493620","David, Trujillo","Cancel","7628","Premier Banking",21500,86005.00316662,"Supervisor"
"94",2024-01-24,"139556","HomeLoan","300,000","360","386624","Lawrence, Punay","Drawdown","7627","General Banking",14200,56796.9932947019,"Supervisor"
"95",2024-01-24,"140236","PersonalLoan","40,000","36","458420","Skye, Slovonsky","Drawdown","7628","Premier Banking",7200,28800.6318786092,"Manager"
"96",2024-01-24,"140410","PersonalLoan","40,000","36","361431","Nevin, Guerrero","Drawdown","7627","General Banking",15500,61998.3746731954,"Supervisor"
"97",2024-01-24,"140473","PersonalLoan","40,000","36","407319","Mikayla, Herde","Drawdown","7628","Premier Banking",15200,60803.0441123488,"Manager"
"98",2024-01-24,"141431","HomeLoan","600,000","360","479819","Daniel, Vargas","Drawdown","7629","General Banking",14214.0350877193,24001.3589302169,"Supervisor"
"99",2024-01-25,"141495","HomeLoan","500,000","360","391004","Nikoma, Jacquez","Drawdown","7630","Premier Banking",9300,37199.3812608108,"Supervisor"
"100",2024-01-25,"141648","PersonalLoan","40,000","36","404816","Charisha, Bancroft","Drawdown","7628","General Banking",8100,32403.6595807872,"Manager"
"101",2024-01-29,"142079","CarLoan","40,000","48","456923","Priscilla, Guerra","Drawdown","7627","General Banking",8100,32397.0564420377,"Manager"
"102",2024-01-29,"142548","CarLoan","50,000","36","398136","Alma, Salle II","Processing","7628","Premier Banking",19100,76399.8965503638,"Worker"
"103",2024-01-29,"143212","HomeLoan","400,000","120","422262","Aaron, Jones","Processing","7627","General Banking",20100,80397.2252458896,"Supervisor"
"104",2024-01-29,"143331","CarLoan","50,000","48","470440","Jada, Hamm","Drawdown","7629","General Banking",12800,51199.8756626224,"Supervisor"
"105",2024-01-30,"143802","PersonalLoan","40,000","36","382043","Eric, Vallejos","Drawdown","7627","General Banking",13600,54398.9936532269,"Officer"
"106",2024-01-30,"144666","CarLoan","80,000","48","404866","Michelle, James","Cancel","7631","Premier Banking",21600,86396.1063430418,"Officer"
"107",2024-01-30,"144759","PersonalLoan","40,000","36","494403","Ambrosia, Garcia","Cancel","7627","General Banking",21800,87207.3317074905,"Supervisor"
"108",2024-01-30,"145019","CarLoan","70,000","36","357131","Cheyenne, Martinez","Drawdown","7627","General Banking",9800,39199.6108093711,"Supervisor"
"109",2024-01-30,"145234","HomeLoan","500,000","120","349506","Cedric, Holley-Bergin","Drawdown","7627","General Banking",16800,67202.2017482613,"Director"
"110",2024-01-30,"146503","CarLoan","70,000","60","330223","Wednesday, Dunston","Drawdown","7631","Premier Banking",14214.0350877193,20798.4948379326,"Supervisor"
"111",2024-01-30,"147002","CarLoan","80,000","36","399604","Jaadallah, al-Hashem","Processing","7627","General Banking",17900,71597.3450912242,"Manager"
"112",2024-01-30,"147100","CarLoan","50,000","60","377278","Emily, Mcarthur","Processing","7628","Premier Banking",19800,79192.9863517549,"Director"
"113",2024-01-30,"147391","PersonalLoan","40,000","36","368168","Coyote-Cache, Oetken","Drawdown","7631","Premier Banking",14100,56398.5401481981,"Manager"
"114",2024-01-31,"147965","PersonalLoan","40,000","36","342748","Melissa, Quenzer","Drawdown","7627","General Banking",14600,58403.8294599012,"Manager"
"115",2024-01-31,"147967","PersonalLoan","40,000","36","525827","Nathaniel, Acosta","Drawdown","7629","General Banking",14400,57604.5624159318,"Manager"
"116",2024-01-31,"148168","PersonalLoan","40,000","36","400859","Cheyenne, Ortega","Drawdown","7630","Premier Banking",15100,60399.4311504895,"Director"
"117",2024-01-31,"148521","HomeLoan","400,000","120","530348","Ryan, Fullerton","Drawdown","7631","Premier Banking",16500,65998.6056756853,"Supervisor"
"118",2024-01-31,"149357","CarLoan","70,000","48","491545","Miah, Mata","Drawdown","7627","General Banking",16200,64802.507974237,"Manager"
"119",2024-01-31,"149400","PersonalLoan","40,000","36","468858","Remy, Kim","Drawdown","7629","General Banking",12800,51195.8326247241,"Worker"
"120",2024-01-31,"149522","PersonalLoan","40,000","36","525828","Gabrielle, Esquivel","Processing","7627","General Banking",18600,74394.9619526295,"Manager"
