"","ApplicationDate","ApplicationNo","LoanType","Amount","Tenor","CustomerNo","CustomerName","ApplicationStatus"
"61",2024-01-17,"128232","HomeLoan","300,000",120,"425946","Asher Erwin, Dolkar","Cancel"
"62",2024-01-17,"128299","HomeLoan","600,000",240,"395172","Elisa, Olson","Processing"
"63",2024-01-17,"128747","HomeLoan","400,000",120,"478161","Ashleigh, Worley","Processing"
"64",2024-01-18,"128824","CarLoan","70,000",36,"490089","Reginald, Chapman","Drawdown"
"65",2024-01-18,"129024","CarLoan","70,000",60,"407424","Richard, Smith","Drawdown"
"66",2024-01-18,"129156","HomeLoan","500,000",360,"489725","Scottie, Andres","Drawdown"
"67",2024-01-18,"129361","PersonalLoan","40,000",36,"396410","Nashat, el-Moghaddam","Drawdown"
"68",2024-01-18,"129506","CarLoan","50,000",60,"472036","Destinee, Lindsay","Processing"
"69",2024-01-18,"129871","HomeLoan","500,000",360,"445829","Alexandria, Rodriguez-Sierra","Drawdown"
"70",2024-01-19,"130178","PersonalLoan","40,000",36,"341009","Dustyn, Barton","Drawdown"
"71",2024-01-19,"130281","HomeLoan","500,000",360,"513404","Emmanuel, Nunez","Drawdown"
"72",2024-01-19,"131028","CarLoan","50,000",60,"370761","Cullen, Hemberger","Drawdown"
"73",2024-01-19,"132954","CarLoan","70,000",36,"355435","Hannah, Cerna","Drawdown"
"74",2024-01-19,"133126","PersonalLoan","40,000",36,"376753","Dayton, Long","Drawdown"
"75",2024-01-19,"133905","HomeLoan","400,000",360,"383366","Jorge, Liebanos-Espinoza","Drawdown"
"76",2024-01-22,"134791","CarLoan","40,000",36,"527183","Stephanie, Frias","Drawdown"
"77",2024-01-22,"134841","CarLoan","70,000",60,"433503","Chelsea, Gresham","Drawdown"
"78",2024-01-22,"135024","PersonalLoan","40,000",36,"521912","Amir, Johnson","Drawdown"
"79",2024-01-23,"135106","PersonalLoan","40,000",36,"444324","Hunter, Yeatts","Drawdown"
"80",2024-01-23,"135435","HomeLoan","300,000",120,"460689","Christina, Catlett","Drawdown"
"81",2024-01-23,"135686","PersonalLoan","40,000",36,"378713","Miguel, Herrington","Cancel"
"82",2024-01-23,"135890","HomeLoan","300,000",240,"338242","Nisma, el-Suleiman","Drawdown"
"83",2024-01-23,"135905","HomeLoan","300,000",240,"331760","Sophia, Human","Processing"
"84",2024-01-23,"136647","CarLoan","80,000",48,"400840","Kyle, Smith","Drawdown"
"85",2024-01-23,"136726","PersonalLoan","40,000",36,"332855","Evans, Johnson","Drawdown"
"86",2024-01-23,"137131","PersonalLoan","40,000",36,"492567","Ryan, Wicks","Drawdown"
"87",2024-01-23,"137603","PersonalLoan","40,000",36,"331988","Christian, Keeton","Drawdown"
"88",2024-01-23,"137957","PersonalLoan","40,000",36,"468918","Lucas, Montoya","Drawdown"
"89",2024-01-24,"138653","PersonalLoan","40,000",36,"332434","Ashlee, Griffin","Processing"
"90",2024-01-24,"139017","PersonalLoan","40,000",36,"422183","Maajid, el-Mohamed","Drawdown"
"91",2024-01-24,"139098","PersonalLoan","40,000",36,"536115","Jeremy, Cummings","Drawdown"
"92",2024-01-24,"139306","CarLoan","40,000",36,"497575","Afeef, al-Kaiser",NA
"93",2024-01-24,"139371","PersonalLoan","40,000",36,"493620","David, Trujillo","Cancel"
"94",2024-01-24,"139556","HomeLoan","300,000",360,"386624","Lawrence, Punay","Drawdown"
"95",2024-01-24,"140236","PersonalLoan","40,000",36,"458420","Skye, Slovonsky","Drawdown"
"96",2024-01-24,"140410","PersonalLoan","40,000",36,"361431","Nevin, Guerrero","Drawdown"
"97",2024-01-24,"140473","PersonalLoan","40,000",36,"407319","Mikayla, Herde","Drawdown"
"98",2024-01-24,"141431","HomeLoan","600,000",360,"479819","Daniel, Vargas","Drawdown"
"99",2024-01-25,"141495","HomeLoan","500,000",360,"391004","Nikoma, Jacquez","Drawdown"
"100",2024-01-25,"141648","PersonalLoan","40,000",36,"404816","Charisha, Bancroft","Drawdown"
"101",2024-01-29,"142079","CarLoan","40,000",48,"456923","Priscilla, Guerra","Drawdown"
"102",2024-01-29,"142548","CarLoan","50,000",36,"398136","Alma, Salle II","Processing"
"103",2024-01-29,"143212","HomeLoan","400,000",120,"422262","Aaron, Jones","Processing"
"104",2024-01-29,"143331","CarLoan","50,000",48,"470440","Jada, Hamm","Drawdown"
"105",2024-01-30,"143802","PersonalLoan","40,000",36,"382043","Eric, Vallejos","Drawdown"
"106",2024-01-30,"144666","CarLoan","80,000",48,"404866","Michelle, James","Cancel"
"107",2024-01-30,"144759","PersonalLoan","40,000",36,"494403","Ambrosia, Garcia","Cancel"
"108",2024-01-30,"145019","CarLoan","70,000",36,"357131","Cheyenne, Martinez","Drawdown"
"109",2024-01-30,"145234","HomeLoan","500,000",120,"349506","Cedric, Holley-Bergin","Drawdown"
"110",2024-01-30,"146503","CarLoan","70,000",60,"330223","Wednesday, Dunston","Drawdown"
"111",2024-01-30,"147002","CarLoan","80,000",36,"399604","Jaadallah, al-Hashem","Processing"
"112",2024-01-30,"147100","CarLoan","50,000",60,"377278","Emily, Mcarthur","Processing"
"113",2024-01-30,"147391","PersonalLoan","40,000",36,"368168","Coyote-Cache, Oetken","Drawdown"
"114",2024-01-31,"147965","PersonalLoan","40,000",36,"342748","Melissa, Quenzer","Drawdown"
"115",2024-01-31,"147967","PersonalLoan","40,000",36,"525827","Nathaniel, Acosta","Drawdown"
"116",2024-01-31,"148168","PersonalLoan","40,000",36,"400859","Cheyenne, Ortega","Drawdown"
"117",2024-01-31,"148521","HomeLoan","400,000",120,"530348","Ryan, Fullerton","Drawdown"
"118",2024-01-31,"149357","CarLoan","70,000",48,"491545","Miah, Mata","Drawdown"
"119",2024-01-31,"149400","PersonalLoan","40,000",36,"468858","Remy, Kim","Drawdown"
"120",2024-01-31,"149522","PersonalLoan","40,000",36,"525828","Gabrielle, Esquivel","Processing"
